OrderID,OrderDate,CustomerID,CustomerName,Region,City,ProductCategory,ProductName,Quantity,UnitPrice,Discount,Sales,Cost,Profit,SalesPerson
84,2024-07-16,CUST1227,Suresh,South,Mumbai,Sports,Cricket Bat,5,43464,0.13,189068.4,167593.23,21475.17,Rekha
85,2024-05-13,CUST1259,Vimal,East,Delhi,Sports,Dumbbells,10,43130,0.07,401109.0,347253.81,53855.19,Suresh
86,2023-10-17,CUST1007,Priya,South,Coimbatore,Sports,Dumbbells,5,50304,0.12,221337.6,164970.53,56367.07,Kavitha
87,2023-02-24,CUST1019,Arul,North,Kolkata,Sports,Tennis Racket,10,3808,0.13,33129.6,26411.76,6717.84,Deepa
88,2024-04-16,CUST1398,Bhuvana,South,Chennai,Furniture,Cupboard,6,35572,0.02,209163.36,186883.93,22279.43,Suresh
89,2023-04-24,CUST1343,Divya,West,Hyderabad,Clothing,Shirt,2,16766,0.08,30849.44,26953.57,3895.87,Naveen
90,2023-08-15,CUST1068,Kiran,South,Chennai,Clothing,T-Shirt,2,24773,0.14,42609.56,34298.18,8311.38,Deepa
91,2024-04-30,CUST1435,Meena,West,Chennai,Furniture,Table,2,44498,0.09,80986.36,69035.71,11950.65,Manoj
92,2024-12-30,CUST1394,Anitha,West,Bangalore,Electronics,Headphones,9,23372,0.07,195623.64,168699.98,26923.66,Arjun
93,2023-09-02,CUST1132,Suresh,South,Chennai,Electronics,Tablet,9,58672,0.07,491084.64,350810.61,140274.03,Manoj
94,2023-04-10,CUST1210,Karthik,West,Pune,Sports,Dumbbells,10,25462,0.04,244435.2,186391.72,58043.48,Suresh
95,2023-12-14,CUST1112,Ravi,South,Kolkata,Electronics,Laptop,9,31165,0.05,266460.75,195619.97,70840.78,Manoj
96,2023-12-24,CUST1321,Ravi,East,Coimbatore,Clothing,Jacket,8,28279,0.03,219445.04,194732.79,24712.25,Kavitha
97,2024-01-12,CUST1153,Karthik,North,Hyderabad,Sports,Football,5,47145,0.05,223938.75,179441.35,44497.4,Kavitha
98,2023-02-26,CUST1410,Arul,South,Pune,Clothing,T-Shirt,5,24598,0.06,115610.6,86006.11,29604.49,Naveen
99,2024-01-09,CUST1408,Arul,East,Kolkata,Clothing,Shirt,3,44372,0.07,123797.88,100727.25,23070.63,Deepa
100,2024-05-14,CUST1305,Vimal,East,Kolkata,Clothing,Jeans,7,37668,0.08,242581.92,198921.06,43660.86,Manoj
101,2023-11-12,CUST1482,Bhuvana,West,Kolkata,Furniture,Table,9,6152,0.1,49831.2,37513.97,12317.23,Naveen
102,2023-07-24,CUST1072,Ravi,South,Kolkata,Electronics,Laptop,5,8589,0.06,40368.3,34328.14,6040.16,Suresh
103,2024-05-19,CUST1238,Saranya,East,Hyderabad,Electronics,Headphones,3,37738,0.12,99628.32,79034.85,20593.47,Suresh
104,2023-05-01,CUST1063,Divya,East,Pune,Clothing,T-Shirt,6,11360,0.13,59299.2,47432.62,11866.58,Rekha
105,2023-11-19,CUST1356,Priya,East,Kolkata,Electronics,Headphones,7,46482,0.01,322120.26,276708.01,45412.25,Kavitha
106,2024-09-13,CUST1102,Vimal,South,Bangalore,Clothing,T-Shirt,6,4494,0.05,25615.8,21507.38,4108.42,Deepa
107,2023-09-10,CUST1129,Divya,South,Delhi,Clothing,Jacket,6,18871,0.04,108696.96,95698.89,12998.07,Kavitha
108,2024-03-16,CUST1428,Arul,West,Pune,Electronics,Mobile,5,28860,0.11,128427.0,103227.0,25200.0,Kavitha
109,2024-09-15,CUST1199,Bhuvana,West,Coimbatore,Electronics,Smartwatch,7,9073,0.0,63511.0,50943.04,12567.96,Arjun
110,2024-03-26,CUST1202,Arul,East,Mumbai,Sports,Tennis Racket,5,47382,0.01,234540.9,206505.54,28035.36,Deepa
111,2024-07-02,CUST1272,Meena,East,Bangalore,Furniture,Bed,1,49413,0.12,43483.44,33727.06,9756.38,Kavitha
112,2024-09-02,CUST1159,Anitha,South,Coimbatore,Grocery,Biscuits,5,45992,0.01,227660.4,163449.4,64211.0,Naveen
113,2024-06-06,CUST1486,Suresh,West,Coimbatore,Electronics,Laptop,9,2456,0.01,21882.96,16585.98,5296.98,Naveen
114,2024-09-04,CUST1356,Priya,East,Kolkata,Electronics,Smartwatch,3,42788,0.07,119378.52,97132.56,22245.96,Suresh
115,2023-07-18,CUST1119,Anitha,West,Kolkata,Furniture,Sofa,6,57310,0.02,336982.8,269115.21,67867.59,Arjun
116,2024-10-15,CUST1150,Karthik,North,Kolkata,Furniture,Sofa,6,15389,0.13,80330.58,60813.12,19517.46,Rekha
117,2024-01-12,CUST1271,Priya,North,Hyderabad,Clothing,Shirt,4,16352,0.01,64753.92,57821.46,6932.46,Kavitha
118,2024-01-11,CUST1151,Karthik,North,Pune,Grocery,Biscuits,4,17117,0.09,62305.88,53981.13,8324.75,Deepa
119,2023-03-08,CUST1187,Arul,West,Pune,Furniture,Chair,6,32536,0.03,189359.52,143136.33,46223.19,Arjun
120,2023-06-13,CUST1089,Saranya,East,Pune,Sports,Dumbbells,6,4741,0.11,25316.94,18086.05,7230.89,Arjun
121,2023-07-06,CUST1078,Ravi,West,Hyderabad,Furniture,Chair,1,23942,0.03,23223.74,16913.7,6310.04,Deepa
122,2023-02-26,CUST1447,Divya,South,Coimbatore,Clothing,Jacket,1,41930,0.14,36059.8,29391.08,6668.72,Arjun
123,2024-11-15,CUST1101,Ramya,North,Coimbatore,Clothing,Jacket,3,3561,0.04,10255.68,8753.68,1502.0,Arjun
124,2023-09-26,CUST1161,Vijay,North,Pune,Electronics,Laptop,10,42806,0.0,428060.0,383994.1,44065.9,Rekha
125,2024-10-04,CUST1439,Divya,North,Bangalore,Furniture,Cupboard,6,11643,0.09,63570.78,56021.12,7549.66,Kavitha
126,2024-07-02,CUST1434,Suresh,West,Kolkata,Electronics,Smartwatch,3,49058,0.1,132456.6,100572.74,31883.86,Rekha
127,2024-09-22,CUST1331,Vijay,East,Pune,Furniture,Table,10,8193,0.09,74556.3,53366.3,21190.0,Rekha
128,2024-06-11,CUST1327,Karthik,West,Kolkata,Clothing,Dress,2,33584,0.12,59107.84,46120.92,12986.92,Suresh
129,2024-04-30,CUST1431,Suresh,East,Bangalore,Grocery,Snacks Pack,10,26023,0.08,239411.6,171403.01,68008.59,Kavitha
130,2023-03-09,CUST1182,Suresh,South,Pune,Furniture,Bed,2,5266,0.09,9584.12,6955.81,2628.31,Deepa
131,2023-12-22,CUST1239,Ramesh,East,Mumbai,Sports,Cricket Bat,9,38459,0.06,325363.14,289624.7,35738.44,Deepa
132,2024-06-26,CUST1486,Suresh,South,Kolkata,Sports,Dumbbells,1,48189,0.01,47707.11,42175.86,5531.25,Kavitha
133,2024-09-13,CUST1252,Suresh,East,Kolkata,Sports,Tennis Racket,2,22613,0.13,39346.62,29965.7,9380.92,Manoj
134,2023-02-06,CUST1093,Priya,West,Coimbatore,Grocery,Snacks Pack,9,17400,0.1,140940.0,99583.67,41356.33,Naveen
135,2024-11-19,CUST1081,Ramya,West,Mumbai,Clothing,Jacket,2,51990,0.11,92542.2,81454.79,11087.41,Deepa
136,2023-12-21,CUST1136,Kiran,South,Kolkata,Furniture,Table,1,55405,0.15,47094.25,40079.55,7014.7,Suresh
137,2023-10-15,CUST1226,Karthik,North,Mumbai,Electronics,Mobile,5,42844,0.13,186371.4,158891.74,27479.66,Manoj
138,2023-08-13,CUST1242,Bhuvana,East,Coimbatore,Furniture,Chair,10,46540,0.05,442130.0,365521.85,76608.15,Deepa
139,2024-10-20,CUST1351,Kiran,West,Coimbatore,Clothing,T-Shirt,3,20452,0.07,57061.08,45847.16,11213.92,Manoj
140,2024-11-14,CUST1425,Meena,West,Pune,Clothing,Jeans,3,2470,0.12,6520.8,4689.7,1831.1,Naveen
141,2023-12-22,CUST1076,Vimal,East,Kolkata,Furniture,Table,5,24269,0.15,103143.25,82741.18,20402.07,Arjun
142,2023-06-07,CUST1363,Ramesh,North,Delhi,Electronics,Headphones,8,47188,0.11,335978.56,277939.66,58038.9,Deepa
143,2024-12-05,CUST1439,Arul,South,Chennai,Electronics,Tablet,4,55216,0.14,189943.04,139594.64,50348.4,Naveen
144,2024-04-01,CUST1052,Vimal,North,Chennai,Furniture,Chair,1,34441,0.12,30308.08,25523.65,4784.43,Suresh
145,2023-04-18,CUST1398,Karthik,North,Kolkata,Clothing,Jeans,2,59601,0.02,116817.96,86494.86,30323.1,Kavitha
146,2024-09-25,CUST1120,Vijay,West,Delhi,Sports,Yoga Mat,3,21800,0.1,58860.0,52304.32,6555.68,Naveen
147,2023-03-20,CUST1194,Ravi,East,Delhi,Clothing,Dress,6,49656,0.06,280059.84,230141.09,49918.75,Deepa
148,2024-10-16,CUST1003,Ramesh,East,Bangalore,Grocery,Biscuits,9,51386,0.13,402352.38,312307.22,90045.16,Manoj
149,2024-03-01,CUST1278,Ramya,South,Hyderabad,Clothing,Jacket,6,21773,0.12,114961.44,82087.44,32874.0,Suresh
150,2024-04-26,CUST1233,Ramya,South,Coimbatore,Clothing,Dress,5,42209,0.06,198382.3,174109.67,24272.63,Naveen
151,2023-02-18,CUST1398,Anitha,East,Pune,Clothing,Jeans,7,36317,0.01,251676.81,180680.24,70996.57,Naveen
152,2023-10-12,CUST1410,Vijay,West,Mumbai,Furniture,Sofa,9,9142,0.07,76518.54,60510.59,16007.95,Deepa
153,2024-04-06,CUST1220,Anitha,East,Hyderabad,Grocery,Snacks Pack,9,23442,0.02,206758.44,166111.71,40646.73,Rekha
154,2023-09-07,CUST1279,Saranya,South,Hyderabad,Sports,Yoga Mat,10,46668,0.09,424678.8,336483.85,88194.95,Deepa
155,2024-03-26,CUST1201,Saranya,South,Mumbai,Sports,Tennis Racket,9,57675,0.14,446404.5,332205.73,114198.77,Manoj
156,2024-01-16,CUST1188,Meena,West,Chennai,Furniture,Cupboard,2,1496,0.13,2603.04,2239.56,363.48,Rekha
157,2024-07-12,CUST1426,Vimal,West,Hyderabad,Sports,Football,1,56932,0.07,52946.76,39163.52,13783.24,Kavitha
158,2023-12-17,CUST1434,Kiran,North,Chennai,Furniture,Sofa,2,39606,0.06,74459.28,55352.92,19106.36,Suresh
159,2023-09-06,CUST1180,Ramya,North,Delhi,Clothing,Jeans,6,22853,0.02,134375.64,109722.66,24652.98,Kavitha
160,2024-01-25,CUST1030,Priya,East,Bangalore,Grocery,Biscuits,5,31491,0.0,157455.0,128776.39,28678.61,Deepa
161,2023-03-28,CUST1321,Divya,East,Hyderabad,Furniture,Bed,6,11616,0.07,64817.28,57111.12,7706.16,Arjun
162,2024-10-24,CUST1232,Ramesh,East,Pune,Sports,Yoga Mat,2,22936,0.03,44495.84,32403.62,12092.22,Manoj
163,2023-02-10,CUST1478,Vimal,East,Kolkata,Grocery,Rice Bag,1,56125,0.02,55002.5,42058.52,12943.98,Naveen
164,2023-08-19,CUST1146,Ramya,North,Kolkata,Clothing,Jeans,9,50220,0.01,447460.2,389298.77,58161.43,Suresh
165,2024-04-20,CUST1419,Suresh,West,Bangalore,Grocery,Cooking Oil,1,18023,0.08,16581.16,12606.83,3974.33,Rekha
166,2024-05-26,CUST1199,Meena,East,Delhi,Sports,Football,1,21634,0.13,18821.58,16329.4,2492.18,Manoj
167,2023-05-14,CUST1492,Arul,North,Kolkata,Grocery,Rice Bag,8,6510,0.0,52080.0,36665.58,15414.42,Deepa
168,2024-02-22,CUST1211,Saranya,South,Coimbatore,Electronics,Mobile,6,27342,0.03,159130.44,111785.2,47345.24,Naveen
169,2023-11-23,CUST1093,Divya,North,Bangalore,Furniture,Sofa,3,59642,0.03,173558.22,152885.73,20672.49,Naveen
170,2024-10-29,CUST1259,Bhuvana,West,Kolkata,Clothing,Jacket,9,31802,0.1,257596.2,200696.07,56900.13,Suresh
171,2023-04-27,CUST1244,Vijay,South,Delhi,Electronics,Headphones,1,19310,0.15,16413.5,12113.44,4300.06,Naveen
172,2023-06-19,CUST1338,Ramya,West,Delhi,Electronics,Mobile,2,57049,0.13,99265.26,72773.33,26491.93,Arjun
173,2024-07-06,CUST1081,Meena,East,Delhi,Furniture,Table,3,44587,0.06,125735.34,107665.31,18070.03,Manoj
174,2023-02-05,CUST1045,Priya,South,Delhi,Clothing,Jacket,3,7300,0.04,21024.0,15232.95,5791.05,Rekha
175,2024-01-06,CUST1500,Ramya,West,Kolkata,Electronics,Laptop,3,57546,0.14,148468.68,130403.36,18065.32,Kavitha
176,2024-02-08,CUST1478,Suresh,North,Chennai,Grocery,Rice Bag,3,24340,0.05,69369.0,49674.55,19694.45,Suresh
177,2024-01-16,CUST1222,Meena,South,Delhi,Sports,Dumbbells,4,31150,0.14,107156.0,81792.22,25363.78,Arjun
178,2024-09-06,CUST1112,Ravi,East,Pune,Electronics,Mobile,7,5828,0.09,37124.36,32214.6,4909.76,Naveen
179,2023-02-01,CUST1117,Bhuvana,West,Mumbai,Electronics,Headphones,4,51831,0.12,182445.12,160885.32,21559.8,Deepa
180,2023-10-17,CUST1159,Bhuvana,South,Bangalore,Sports,Tennis Racket,5,17565,0.07,81677.25,63605.19,18072.06,Manoj
181,2024-07-10,CUST1272,Vimal,South,Pune,Electronics,Mobile,7,2610,0.1,16443.0,14761.85,1681.15,Suresh
182,2023-08-12,CUST1156,Vimal,East,Hyderabad,Sports,Yoga Mat,3,29788,0.08,82214.88,68037.71,14177.17,Naveen
183,2023-08-31,CUST1012,Ramya,South,Chennai,Sports,Dumbbells,7,34071,0.1,214647.3,191158.56,23488.74,Manoj
184,2024-04-03,CUST1357,Suresh,East,Chennai,Electronics,Laptop,1,2772,0.02,2716.56,2205.03,511.53,Manoj
185,2023-07-30,CUST1089,Suresh,South,Mumbai,Electronics,Tablet,10,29937,0.07,278414.1,228595.13,49818.97,Arjun
186,2023-04-27,CUST1105,Arul,West,Delhi,Grocery,Cooking Oil,9,26557,0.0,239013.0,185602.91,53410.09,Naveen
187,2023-03-05,CUST1490,Ramya,East,Kolkata,Grocery,Cooking Oil,2,35449,0.05,67353.1,56746.5,10606.6,Kavitha
188,2023-07-13,CUST1469,Priya,North,Chennai,Electronics,Tablet,10,34704,0.04,333158.4,265480.15,67678.25,Naveen
189,2024-05-25,CUST1260,Saranya,East,Hyderabad,Grocery,Snacks Pack,7,43984,0.0,307888.0,244636.82,63251.18,Deepa
190,2024-03-02,CUST1147,Ravi,North,Pune,Clothing,Jacket,10,43035,0.08,395922.0,303966.47,91955.53,Naveen
191,2024-11-05,CUST1255,Bhuvana,East,Hyderabad,Furniture,Table,3,13433,0.04,38687.04,31772.5,6914.54,Naveen
192,2024-08-24,CUST1137,Bhuvana,North,Hyderabad,Sports,Dumbbells,3,53473,0.02,157210.62,141317.58,15893.04,Naveen
193,2024-05-02,CUST1032,Suresh,North,Mumbai,Grocery,Biscuits,6,13211,0.05,75302.7,62188.52,13114.18,Kavitha
194,2024-05-05,CUST1203,Saranya,South,Kolkata,Sports,Cricket Bat,2,19078,0.01,37774.44,31529.62,6244.82,Manoj
195,2024-08-16,CUST1116,Priya,East,Bangalore,Clothing,Shirt,10,56195,0.11,500135.5,389015.56,111119.94,Arjun
196,2023-01-07,CUST1310,Divya,North,Chennai,Grocery,Snacks Pack,1,22859,0.12,20115.92,17427.02,2688.9,Kavitha
197,2023-11-16,CUST1315,Saranya,North,Delhi,Sports,Tennis Racket,8,24380,0.01,193089.6,158098.9,34990.7,Naveen
198,2024-09-11,CUST1353,Bhuvana,South,Mumbai,Sports,Football,2,32167,0.01,63690.66,56260.01,7430.65,Kavitha
199,2023-10-05,CUST1344,Meena,West,Bangalore,Sports,Tennis Racket,8,44484,0.09,323843.52,256784.66,67058.86,Manoj
200,2024-04-25,CUST1462,Karthik,North,Coimbatore,Grocery,Biscuits,1,6684,0.03,6483.48,5012.57,1470.91,Arjun
201,2024-05-04,CUST1340,Priya,North,Kolkata,Electronics,Headphones,2,21810,0.15,37077.0,31100.13,5976.87,Suresh
202,2024-08-01,CUST1467,Saranya,West,Delhi,Clothing,T-Shirt,2,37188,0.05,70657.2,59014.1,11643.1,Deepa
203,2023-12-14,CUST1456,Meena,North,Mumbai,Grocery,Cooking Oil,1,10511,0.03,10195.67,8977.65,1218.02,Naveen
204,2023-01-28,CUST1103,Arul,South,Kolkata,Grocery,Cooking Oil,1,1161,0.07,1079.73,783.21,296.52,Kavitha
205,2024-01-02,CUST1228,Ramya,North,Coimbatore,Furniture,Sofa,7,47319,0.06,311359.02,228560.35,82798.67,Naveen
